Enter start page: Enter end page: 0
1
Contour #3525: Unicode expected: U+30BB, Position: (2109, 3546) y//120: 29
Contour #3526: Unicode expected: U+30BC, Position: (2563, 3545) y//120: 29
Contour #3527: Unicode expected: U+30BD, Position: (3017, 3544) y//120: 29
Contour #3528: Unicode expected: U+30BE, Position: (3472, 3543) y//120: 29
Contour #3529: Unicode expected: U+30BF, Position: (3927, 3542) y//120: 29
Contour #3530: Unicode expected: U+30C0, Position: (4383, 3540) y//120: 29
Contour #3808: Unicode expected: U+30C1, Position: (293, 4132) y//120: 34
Contour #3809: Unicode expected: U+30C2, Position: (748, 4132) y//120: 34
Contour #3810: Unicode expected: U+30C4, Position: (1203, 4132) y//120: 34
Contour #3811: Unicode expected: U+30C5, Position: (1657, 4131) y//120: 34
Contour #3812: Unicode expected: U+30C6, Position: (2109, 4130) y//120: 34
Contour #3813: Unicode expected: U+30C7, Position: (2563, 4128) y//120: 34
Contour #3814: Unicode expected: U+30C8, Position: (3017, 4127) y//120: 34
Contour #3815: Unicode expected: U+30C9, Position: (3473, 4126) y//120: 34
Contour #3816: Unicode expected: U+30CA, Position: (3927, 4125) y//120: 34
Contour #3817: Unicode expected: U+30CB, Position: (4384, 4122) y//120: 34
Contour #4670: Unicode expected: U+30CC, Position: (291, 4719) y//120: 39
Contour #4671: Unicode expected: U+30CD, Position: (746, 4719) y//120: 39
Contour #4672: Unicode expected: U+30CE, Position: (1201, 4720) y//120: 39
Contour #4673: Unicode expected: U+30CF, Position: (1656, 4719) y//120: 39
Contour #4674: Unicode expected: U+30D0, Position: (2108, 4717) y//120: 39
